user,puzzle,narrMod,attempts,num_incorrect,num_correct,is_correct,total_time,user_category,challenge_scale,enjoyment_scale,narrative_scale,comment
9P9eGssGi3WCh2AWF4feQTc9Bti2,train,nar,1,0,2,False,101613,novice,-1,-1,-1,-1
ZyIOgZpVx5TzZQ3eZ7HrpKYF2Su2,chili,nar,1,12,35,False,283996,novice,6.142857142857143,6.2,6.0,
mVXjdjGlvXaiQ7sIs13RftiKE723,train,hints,1,14,26,False,483786,expert,-1,-1,-1,-1
SeLKouxO71fKp40E7gmcKDWlpkV2,chili,hints,1,0,5,False,82262,intermediate,4.285714285714286,2.0,1.8571428571428572,"I am not good at puzzles like this, and I had absolutely no idea how to solve it."
FreFVBMBEQQ0ZKRe9r398Rj8nWE2,train,hints,1,3,2,False,518424,novice,7.0,2.2,2.2857142857142856,"None, but thanks for asking."
8h74v3Y0ZsXOXuXJ1ZdROV5OZvX2,train,if,1,0,18,False,1042219,intermediate,6.0,4.8,5.142857142857143,
AYBgNBT2VRYA2VvDt7zJ7J007bY2,train,hints,1,14,2,False,326109,intermediate,7.0,7.0,6.142857142857143,"I spent 30 minutes trying to do a puzzle. When I couldn't solve it in time, I refreshed, and started another. I needed more time to finish, but unfortunately, the timer didn't give me enough time."
lyHAEPfqH3TvlzIMWTdMfMRMLWf1,ballroom,hints,1,14,34,False,1020795,intermediate,6.285714285714286,2.2,2.857142857142857,I am not good at the game of Clue. I am much better with Sudoku. 
yIubK8zQjbRXQ8fo5umXEDclrpZ2,chili,hints,1,3,4,False,306770,novice,7.0,5.8,7.0,
48B5w6COCQOWIDfPHuovb5BgpJB2,train,if,1,0,0,False,256477,expert,5.714285714285714,1.2,1.2857142857142858,
WJuybwMOicZoFpZ01GBKOSHaUcy1,ballroom,nar,1,9,39,False,231916,intermediate,6.285714285714286,5.2,5.285714285714286,The characters and the story itself are definitely interesting to read. This puzzle does take a lot of mental effort to solve.
C69QPp0TAFMaUjRTGYmPP9qtYV12,ballroom,hints,1,18,30,False,584028,novice,6.714285714285714,5.6,2.7142857142857144," I felt like there was info missing on Lady Eleanor Appleton. the dance orders really seemed like they made sense and were easy to figure out but then I could not get the people in order for some reason, very tricky."
Oo5feM6RCFcEnmcjmjhgeJpmSMk1,train,if,1,6,5,False,3084092,expert,6.714285714285714,1.4,2.0,"I felt as though there weren't enough context clues, only one person had a for sure answer on where they got off. The others didn't have enough context clues and I ended up getting more and more frustrated the more I tried."
eynEGYBbOePVs6leT9NH0wR9iwH2,train,nar,1,0,48,True,693943,intermediate,5.285714285714286,4.6,3.4285714285714284,
9lXWx6S8jzSASYHd949tKYMmGI92,chili,nar,1,0,0,False,1767990,expert,-1,-1,-1,-1
t9bFI8ABHoVwT4rNb72ZBfklPLH2,ballroom,nar,1,5,5,False,172500,intermediate,-1,-1,-1,-1
8ZOsdeCsVSMwTuuzggjgJjJ9Qcn2,train,nar,1,30,18,False,129150,intermediate,5.285714285714286,2.4,1.0,
G0cJLLBX6mXujoT4xPzKQHZl2Z13,chili,hints,1,11,36,False,3295445,expert,-1,-1,-1,-1
